mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin
18,8,307,130,3504,12,70,1
15,8,350,165,3693,11.5,70,1
18,8,318,150,3436,11,70,1
16,8,304,150,3433,12,70,1
17,8,302,140,3449,10.5,70,1
15,8,429,198,4341,10,70,1
14,8,454,220,4354,9,70,1
14,8,440,215,4312,8.5,70,1
14,8,455,225,4425,10,70,1
15,8,390,190,3850,8.5,70,1
24,4,113,95,2372,15,70,3
22,6,198,95,2833,15.5,70,1
18,6,199,97,2774,15.5,70,1
21,6,200,85,2587,16,70,1
27,4,97,88,2130,14.5,70,3
26,4,97,46,1835,20.5,70,2
25,4,110,87,2672,17.5,70,2
24,4,107,90,2430,14.5,70,2
25,4,104,95,2375,17.5,70,2
26,4,121,113,2234,12.5,70,2
